dataset,"Ablation-B (adaptive only, g=0)",Agglomerative,BIRCH,DBSCAN,DPC (Sci.2014),DRASC (proposed),FINCH (2019),GMM (EM),HDBSCAN,LSC (anchor spectral),Spectral (RBF),Spectral (kNN),k-means++
Banknote Authentication (UCI),0.0186,0.1527,0.1768,0.3726,0.8625,0.2234,0.3182,0.0125,0.0311,0.1421,0.2054,0.0098,0.0109
Breast Cancer Wisconsin (UCI),0.5925,0.0102,0.4569,0.0181,0.2912,0.6188,0.4724,0.6275,0.199,0.6018,0.0102,0.6771,0.5546
Digits 8x8 (UCI handwritten),0.7549,0.0138,0.7956,0.0146,0.7127,0.754,0.7744,0.619,0.0339,0.7554,0.0022,0.7686,0.6268
"Fashion-MNIST (10k, PCA-50)",0.6355,0.002,0.4309,0.0305,,0.623,0.588,0.501,0.0582,0.5893,,0.5599,0.5371
Image Segmentation (UCI),0.5456,0.0069,0.3384,0.4881,0.6469,0.544,0.6093,0.6608,0.4627,0.5915,0.0119,0.5396,0.5849
"MNIST (10k, PCA-50)",0.6077,0.0018,0.0464,0.0126,,0.5764,0.5265,0.2892,0.0429,0.4841,,0.6189,0.3294
"Olivetti Faces (AT&T, PCA-50)",0.8452,0.8333,0.8333,0.019,0.84,0.8496,0.8974,0.817,0.3505,0.8476,0.7798,0.8179,0.8122
Pen Digits (UCI),0.7765,0.7354,0.7084,0.7097,0.7353,0.7809,0.7687,0.7199,0.708,0.7544,0.6356,0.7763,0.7037
Satimage / Landsat (UCI),0.6208,0.4047,0.607,0.2512,0.5293,0.6235,0.423,0.5984,0.2715,0.6206,0.5059,0.611,0.6116
Seeds (UCI),0.7502,0.7498,0.6273,0.4776,0.6942,0.7375,0.678,0.742,0.382,0.7131,0.7629,0.739,0.7279
USPS (PCA-50),0.763,0.002,0.5822,0.0181,,0.7724,0.719,0.5871,0.3663,0.6171,,0.7619,0.5716
Vehicle Silhouettes (UCI),0.1671,0.0142,0.1216,0.0116,0.1877,0.1647,0.1591,0.1195,0.0119,0.1731,0.0132,0.1581,0.1164
Wine (UCI),0.8926,0.7865,0.7865,0.0517,0.7262,0.8926,0.7135,0.858,0.3613,0.8819,0.9011,0.8926,0.8759
